Hour,107 August CF,107 Jan CF,110 August CF,110 Jan CF,112 August CF,112 Jan CF,177 August CF,177 Jan CF,21 August CF,21 Jan CF,213 August CF,213 Jan CF,214 August CF,214 Jan CF,38 August CF,38 Jan CF,92 August CF,92 Jan CF,94 August CF,94 Jan CF
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.06916129,0,0.069,0,0.069129032,0,0.069806452,0,0.069741935,0,0.069483871,0,0.069580645,0,0.068967742,0,0.068903226,0,0.069096774,0
6,0.320612903,0.040709677,0.321225806,0.040322581,0.319741935,0.040580645,0.324677419,0.040741935,0.323580645,0.041,0.322935484,0.040419355,0.323967742,0.040548387,0.320612903,0.040387097,0.319741935,0.040258065,0.32016129,0.040806452
7,0.505483871,0.327193548,0.506387097,0.326741935,0.504903226,0.326096774,0.509677419,0.328741935,0.508322581,0.328516129,0.508032258,0.327548387,0.509064516,0.328129032,0.50583871,0.326612903,0.505354839,0.325580645,0.505096774,0.326741935
8,0.601354839,0.530258065,0.602,0.530225806,0.601064516,0.529322581,0.604290323,0.53316129,0.603225806,0.532483871,0.603,0.531483871,0.603806452,0.532354839,0.601580645,0.530032258,0.601354839,0.529096774,0.601,0.529774194
9,0.655451613,0.644322581,0.655967742,0.645,0.655677419,0.643516129,0.657,0.645225806,0.656451613,0.644548387,0.656419355,0.644903226,0.656774194,0.645129032,0.655870968,0.644419355,0.655870968,0.643645161,0.655451613,0.643741935
10,0.673354839,0.704387097,0.673645161,0.704193548,0.673709677,0.703419355,0.674483871,0.704774194,0.674129032,0.704709677,0.674064516,0.704354839,0.674322581,0.704548387,0.673548387,0.703935484,0.673903226,0.70283871,0.673451613,0.703935484
11,0.676290323,0.712580645,0.676483871,0.711967742,0.676677419,0.711193548,0.677516129,0.713548387,0.67716129,0.713548387,0.676967742,0.712741935,0.677258065,0.713096774,0.676548387,0.711806452,0.676870968,0.710516129,0.676483871,0.711935484
12,0.671096774,0.678548387,0.671129032,0.67783871,0.671387097,0.676258065,0.671967742,0.681354839,0.671774194,0.68116129,0.671580645,0.679548387,0.671903226,0.680548387,0.671193548,0.677451613,0.671387097,0.675225806,0.67116129,0.677580645
13,0.644935484,0.606612903,0.645483871,0.605870968,0.645193548,0.603870968,0.646806452,0.609645161,0.646193548,0.609451613,0.646129032,0.607774194,0.646516129,0.608580645,0.645354839,0.605258065,0.645483871,0.602645161,0.645,0.605354839
14,0.595064516,0.486645161,0.595870968,0.486258065,0.595129032,0.484806452,0.597451613,0.489258065,0.596548387,0.488903226,0.596548387,0.487580645,0.597096774,0.488354839,0.595580645,0.48583871,0.595645161,0.483870968,0.595032258,0.48583871
15,0.500935484,0.309806452,0.501967742,0.309096774,0.501096774,0.308387097,0.503935484,0.31083871,0.502612903,0.310870968,0.50283871,0.309903226,0.503580645,0.310354839,0.501580645,0.309,0.501709677,0.307677419,0.50083871,0.309322581
16,0.339129032,0.083419355,0.339903226,0.083258065,0.339193548,0.083096774,0.34116129,0.082677419,0.340387097,0.082741935,0.340451613,0.082806452,0.340935484,0.082645161,0.339645161,0.083258065,0.339580645,0.08283871,0.339032258,0.083290323
17,0.105935484,0,0.106193548,0,0.106,0,0.10716129,0,0.106967742,0,0.107096774,0,0.10716129,0,0.106032258,0,0.106129032,0,0.105806452,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
