Hour,1277 August CF,1277 Jan CF,154 August CF,154 Jan CF,1700 August CF,1700 Jan CF,1737 August CF,1737 Jan CF,1804.5 August CF,1804.5 Jan CF,1804 August CF,1804 Jan CF,2048 August CF,2048 Jan CF,209 August CF,209 Jan CF,249 August CF,249 Jan CF,263 August CF,263 Jan CF,356 August CF,356 Jan CF,523 August CF,523 Jan CF,530 August CF,530 Jan CF,622 August CF,622 Jan CF,739 August CF,739 Jan CF
0,0.19364516129032255,0.4998666666666667,0.17719354838709672,0.4970333333333333,0.208,0.4878666666666667,0.20577419354838708,0.4848,0.1773225806451613,0.49103333333333327,0.17667741935483872,0.48373333333333324,0.21603225806451612,0.5203333333333333,0.1831290322580645,0.49426666666666663,0.16067741935483873,0.37503333333333344,0.17703225806451614,0.4949,0.242,0.5125,0.21758064516129028,0.5047666666666667,0.17925806451612908,0.5038666666666666,0.15009677419354836,0.3692666666666667,0.20683870967741932,0.49763333333333326
1,0.22470967741935483,0.4845,0.2114838709677419,0.4825333333333333,0.23674193548387099,0.4813666666666668,0.23338709677419356,0.47866666666666663,0.21022580645161285,0.4763333333333332,0.2083870967741936,0.4695000000000001,0.2519677419354839,0.5096333333333333,0.21519354838709678,0.4791333333333334,0.17503225806451617,0.3631000000000001,0.21080645161290323,0.48050000000000004,0.27435483870967736,0.5034666666666667,0.24948387096774194,0.49206666666666676,0.21487096774193548,0.4897,0.1611935483870967,0.35233333333333333,0.2377096774193549,0.4882
2,0.2565483870967742,0.47059999999999985,0.24116129032258068,0.4704666666666667,0.26206451612903225,0.47453333333333336,0.25864516129032256,0.47283333333333327,0.24129032258064512,0.46396666666666664,0.24025806451612902,0.458,0.2775806451612903,0.49950000000000006,0.24641935483870966,0.4656666666666666,0.18087096774193548,0.3623,0.24090322580645157,0.46823333333333317,0.30161290322580636,0.49176666666666674,0.28193548387096773,0.4777666666666667,0.2432258064516129,0.4775,0.17161290322580647,0.3483333333333333,0.2655806451612903,0.47826666666666673
3,0.28461290322580657,0.45699999999999996,0.26648387096774184,0.4558709677419354,0.28022580645161277,0.46554838709677426,0.27509677419354833,0.46409677419354844,0.2652258064516128,0.4484838709677419,0.2617096774193548,0.44164516129032255,0.3035483870967742,0.49080645161290326,0.2721935483870968,0.45061290322580655,0.17983870967741933,0.36403225806451617,0.26587096774193547,0.45325806451612904,0.3327096774193549,0.47822580645161294,0.3111612903225806,0.46383870967741936,0.26899999999999996,0.46461290322580645,0.17583870967741932,0.35283870967741937,0.289741935483871,0.467774193548387
4,0.29667741935483877,0.4521935483870968,0.2807096774193548,0.44848387096774195,0.2850322580645162,0.46893548387096773,0.2780645161290322,0.4686774193548387,0.276741935483871,0.44316129032258067,0.2704516129032258,0.43864516129032255,0.3273548387096774,0.4801290322580645,0.28432258064516125,0.44496774193548394,0.17180645161290317,0.37083870967741933,0.27909677419354845,0.4465806451612905,0.3570967741935484,0.4674193548387096,0.32487096774193547,0.46003225806451603,0.286225806451613,0.455258064516129,0.17119354838709674,0.35935483870967755,0.2992903225806452,0.4670322580645162
5,0.2921612903225805,0.4578064516129033,0.2793548387096775,0.44493548387096776,0.27780645161290324,0.48019354838709677,0.26932258064516135,0.48012903225806447,0.27409677419354833,0.44635483870967746,0.26683870967741946,0.4459354838709679,0.3368064516129033,0.463741935483871,0.2810967741935484,0.4485483870967743,0.16867741935483868,0.3827741935483871,0.2774193548387096,0.4456451612903225,0.3633225806451613,0.4594516129032258,0.3205483870967742,0.4627096774193548,0.2873225806451612,0.4450322580645162,0.16961290322580644,0.37190322580645163,0.2936129032258065,0.4756451612903226
6,0.2671290322580645,0.4510967741935483,0.24767741935483875,0.4354516129032258,0.2611935483870968,0.4823548387096775,0.2533225806451613,0.48390322580645173,0.24848387096774194,0.43929032258064515,0.2468064516129032,0.44170967741935496,0.2882258064516129,0.4473548387096774,0.25583870967741934,0.4417096774193548,0.1602258064516129,0.381,0.24748387096774196,0.43709677419354837,0.3084516129032258,0.4464516129032258,0.28435483870967737,0.45238709677419364,0.251,0.43267741935483867,0.15851612903225812,0.3682258064516129,0.27261290322580645,0.4724193548387097
7,0.24635483870967753,0.43277419354838703,0.2303225806451613,0.4037096774193549,0.2430645161290323,0.47564516129032264,0.2353548387096774,0.4804838709677419,0.2317741935483871,0.4183870967741935,0.23054838709677417,0.4301612903225806,0.24212903225806454,0.38290322580645164,0.23687096774193547,0.4214193548387098,0.14661290322580642,0.37129032258064515,0.23070967741935483,0.40909677419354845,0.2520322580645162,0.3772258064516129,0.2555483870967742,0.4201612903225806,0.2304838709677419,0.3915161290322581,0.14319354838709672,0.35525806451612907,0.2526129032258065,0.4575483870967741
8,0.26464516129032256,0.41600000000000004,0.26648387096774184,0.37825806451612903,0.23354838709677417,0.46119354838709675,0.2240645161290322,0.4670322580645162,0.2543870967741935,0.39787096774193553,0.24006451612903226,0.41367741935483876,0.30229032258064525,0.33412903225806445,0.2585483870967742,0.40232258064516124,0.13596774193548386,0.3557741935483871,0.26219354838709685,0.3854193548387097,0.3128709677419355,0.3279354838709677,0.29038709677419344,0.39745161290322584,0.27696774193548385,0.36216129032258054,0.13577419354838707,0.3393225806451613,0.2567096774193548,0.4415483870967741
9,0.2939354838709678,0.407516129032258,0.31209677419354837,0.3820322580645161,0.23932258064516124,0.4468709677419354,0.2263225806451613,0.4509677419354839,0.2870967741935484,0.39380645161290323,0.2604516129032258,0.40296774193548396,0.3551612903225807,0.3480000000000001,0.29145161290322574,0.39641935483870966,0.1305483870967742,0.3429354838709678,0.3033225806451613,0.3863548387096775,0.3644838709677419,0.34709677419354834,0.32390322580645164,0.4003870967741935,0.3309677419354838,0.37119354838709684,0.13206451612903222,0.3303548387096774,0.2749032258064516,0.43119354838709667
10,0.3089999999999999,0.41377419354838707,0.3364193548387097,0.4018387096774193,0.2506774193548387,0.43280645161290326,0.2363548387096774,0.43441935483870964,0.3051290322580645,0.4014838709677419,0.27354838709677426,0.40045161290322584,0.3712580645161289,0.4195483870967743,0.30874193548387097,0.4040322580645161,0.12861290322580649,0.3361612903225806,0.32535483870967746,0.40180645161290324,0.37667741935483867,0.42158064516129035,0.33654838709677426,0.426483870967742,0.358483870967742,0.4033548387096775,0.1290322580645161,0.3300967741935483,0.2887741935483871,0.4286451612903225
11,0.31616129032258067,0.43512903225806454,0.34451612903225803,0.42819354838709667,0.25954838709677425,0.43499999999999994,0.24651612903225806,0.43322580645161285,0.3112903225806451,0.4204516129032257,0.2781290322580645,0.4120322580645161,0.3760322580645162,0.45029032258064516,0.3155161290322581,0.42574193548387096,0.1287096774193548,0.3513225806451612,0.33283870967741935,0.4253870967741935,0.38054838709677424,0.46122580645161276,0.3431935483870968,0.45196774193548384,0.3674516129032259,0.43499999999999994,0.12796774193548385,0.3496774193548386,0.2967096774193549,0.44154838709677413
12,0.32119354838709674,0.44406451612903225,0.35074193548387095,0.4393870967741935,0.2693870967741936,0.441,0.2585483870967742,0.43909677419354837,0.31622580645161286,0.43145161290322587,0.2820967741935483,0.42293548387096785,0.3819354838709677,0.4541290322580644,0.3203870967741934,0.4365161290322579,0.13448387096774195,0.37754838709677413,0.33858064516129033,0.4366129032258064,0.38683870967741946,0.46532258064516113,0.348258064516129,0.4568709677419354,0.37412903225806443,0.445516129032258,0.13338709677419355,0.37790322580645147,0.3031935483870968,0.44796774193548383
13,0.3231935483870969,0.43712903225806443,0.35429032258064513,0.43283870967741933,0.27719354838709676,0.4415483870967742,0.26919354838709686,0.4417419354838709,0.3198064516129031,0.42564516129032265,0.2859354838709678,0.41867741935483865,0.38593548387096777,0.444,0.32319354838709685,0.42977419354838703,0.14170967741935483,0.4016774193548386,0.3421935483870968,0.4301935483870967,0.3903870967741935,0.45212903225806444,0.3491290322580645,0.44841935483870965,0.37777419354838704,0.43816129032258067,0.14074193548387096,0.4003548387096775,0.30641935483870963,0.4444838709677419
14,0.3170322580645161,0.43441935483870964,0.3508387096774194,0.4229032258064517,0.2761612903225807,0.44899999999999995,0.27096774193548384,0.4511290322580646,0.31690322580645164,0.4213548387096774,0.2847419354838709,0.41896774193548375,0.3840967741935484,0.4269677419354838,0.3189354838709677,0.42548387096774193,0.14616129032258063,0.4302903225806452,0.33896774193548385,0.4221935483870968,0.38712903225806444,0.43603225806451607,0.3410967741935484,0.4440000000000001,0.37470967741935485,0.4240322580645161,0.14441935483870966,0.4239032258064516,0.30045161290322586,0.44570967741935485
15,0.30016129032258065,0.43538709677419346,0.3376774193548387,0.4174838709677419,0.2648387096774194,0.4550645161290323,0.26303225806451613,0.45854838709677403,0.30496774193548387,0.4227419354838709,0.2755161290322581,0.42606451612903223,0.3735161290322581,0.40951612903225804,0.3048064516129032,0.42638709677419345,0.1496774193548387,0.4518064516129031,0.3261290322580645,0.41945161290322575,0.37541935483870986,0.4206451612903225,0.3221290322580645,0.4413870967741935,0.3615483870967742,0.41287096774193555,0.14696774193548384,0.44261290322580643,0.28283870967741936,0.4474516129032258
16,0.26570967741935486,0.4460322580645161,0.3061935483870967,0.43064516129032265,0.24077419354838706,0.45890322580645154,0.24290322580645166,0.46116129032258074,0.27632258064516124,0.4350000000000001,0.25245161290322576,0.43761290322580637,0.34761290322580646,0.42029032258064514,0.2737096774193549,0.43780645161290327,0.15187096774193545,0.464258064516129,0.2954193548387097,0.43222580645161285,0.3487419354838709,0.44164516129032266,0.2856451612903226,0.4546129032258064,0.32990322580645165,0.4256129032258064,0.14761290322580645,0.45499999999999996,0.24958064516129033,0.45480645161290323
17,0.20964516129032254,0.4774838709677419,0.24967741935483873,0.46383870967741936,0.2049032258064516,0.46454838709677415,0.2114193548387096,0.4624838709677418,0.2265483870967742,0.4628709677419355,0.2119677419354839,0.4601612903225807,0.30609677419354836,0.4620967741935484,0.2211290322580645,0.46825806451612906,0.14922580645161285,0.46864516129032247,0.24103225806451611,0.46361290322580634,0.30958064516129025,0.49829032258064515,0.22654838709677422,0.4970967741935483,0.2723225806451613,0.46267741935483864,0.14461290322580647,0.4625806451612904,0.19980645161290322,0.4757419354838709
18,0.16174193548387095,0.5136129032258064,0.19954838709677422,0.49616129032258066,0.16816129032258068,0.4863548387096775,0.17577419354838705,0.47832258064516125,0.1810645161290323,0.49251612903225805,0.17212903225806447,0.4855161290322581,0.26738709677419353,0.5061612903225806,0.17377419354838708,0.5023870967741935,0.13996774193548386,0.46867741935483864,0.19267741935483867,0.4947419354838709,0.27596774193548373,0.5471290322580645,0.17941935483870966,0.5327741935483871,0.21964516129032258,0.4977741935483871,0.1366451612903226,0.46577419354838717,0.15725806451612898,0.5086129032258064
