# Renewables.ninja Wind (Point API) - 26.679, 50.800 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,,,,,,,,,,,
# Units: time in UTC, local_time in Asia/Bahrain, electricity in kW,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Asia/Bahrain"""," ""electricity"": ""kW""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""26.6792"""," ""lon"": ""51.0245"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""height"": ""150"""," ""turbine"": ""Vestas V90 2000"""," ""raw"": false}}"
time,local_time,electricity,,,,,,,,,,,
1/1/2019 0:00,1/1/2019 3:00,0.261,,,,,,,,,,,
1/1/2019 1:00,1/1/2019 4:00,0.226,,,,,,,,,,,
1/1/2019 2:00,1/1/2019 5:00,0.192,,,,,,,,,,,
1/1/2019 3:00,1/1/2019 6:00,0.167,,,,,,,,,,,
1/1/2019 4:00,1/1/2019 7:00,0.14,,,,,,,,,,,
1/1/2019 5:00,1/1/2019 8:00,0.107,,,,,,,,,,,
1/1/2019 6:00,1/1/2019 9:00,0.084,,,,,,,,,,,
1/1/2019 7:00,1/1/2019 10:00,0.084,,,,,,,,,,,
1/1/2019 8:00,1/1/2019 11:00,0.093,,,,,,,,,,,
1/1/2019 9:00,1/1/2019 12:00,0.081,,,,,,,,,,,
1/1/2019 10:00,1/1/2019 13:00,0.078,,,,,,,,,,,
1/1/2019 11:00,1/1/2019 14:00,0.099,,,,,,,,,,,
1/1/2019 12:00,1/1/2019 15:00,0.106,,,,,,,,,,,
1/1/2019 13:00,1/1/2019 16:00,0.099,,,,,,,,,,,
1/1/2019 14:00,1/1/2019 17:00,0.089,,,,,,,,,,,
1/1/2019 15:00,1/1/2019 18:00,0.051,,,,,,,,,,,
1/1/2019 16:00,1/1/2019 19:00,0.017,,,,,,,,,,,
1/1/2019 17:00,1/1/2019 20:00,0.001,,,,,,,,,,,
1/1/2019 18:00,1/1/2019 21:00,0,,,,,,,,,,,
1/1/2019 19:00,1/1/2019 22:00,0,,,,,,,,,,,
1/1/2019 20:00,1/1/2019 23:00,0,,,,,,,,,,,
1/1/2019 21:00,1/2/2019 0:00,0,,,,,,,,,,,
1/1/2019 22:00,1/2/2019 1:00,0,,,,,,,,,,,
1/1/2019 23:00,1/2/2019 2:00,0,,,,,,,,,,,
1/2/2019 0:00,1/2/2019 3:00,0,,,,,,,,,,,
1/2/2019 1:00,1/2/2019 4:00,0.014,,,,,,,,,,,
1/2/2019 2:00,1/2/2019 5:00,0.044,,,,,,,,,,,
1/2/2019 3:00,1/2/2019 6:00,0.089,,,,,,,,,,,
1/2/2019 4:00,1/2/2019 7:00,0.093,,,,,,,,,,,
1/2/2019 5:00,1/2/2019 8:00,0.074,,,,,,,,,,,
1/2/2019 6:00,1/2/2019 9:00,0.062,,,,,,,,,,,
1/2/2019 7:00,1/2/2019 10:00,0.058,,,,,,,,,,,
1/2/2019 8:00,1/2/2019 11:00,0.113,,,,,,,,,,,
1/2/2019 9:00,1/2/2019 12:00,0.184,,,,,,,,,,,
1/2/2019 10:00,1/2/2019 13:00,0.238,,,,,,,,,,,
1/2/2019 11:00,1/2/2019 14:00,0.256,,,,,,,,,,,
1/2/2019 12:00,1/2/2019 15:00,0.272,,,,,,,,,,,
1/2/2019 13:00,1/2/2019 16:00,0.322,,,,,,,,,,,
1/2/2019 14:00,1/2/2019 17:00,0.447,,,,,,,,,,,
1/2/2019 15:00,1/2/2019 18:00,0.566,,,,,,,,,,,
1/2/2019 16:00,1/2/2019 19:00,0.607,,,,,,,,,,,
1/2/2019 17:00,1/2/2019 20:00,0.599,,,,,,,,,,,
1/2/2019 18:00,1/2/2019 21:00,0.586,,,,,,,,,,,
1/2/2019 19:00,1/2/2019 22:00,0.586,,,,,,,,,,,
1/2/2019 20:00,1/2/2019 23:00,0.58,,,,,,,,,,,
1/2/2019 21:00,1/3/2019 0:00,0.566,,,,,,,,,,,
1/2/2019 22:00,1/3/2019 1:00,0.543,,,,,,,,,,,
1/2/2019 23:00,1/3/2019 2:00,0.525,,,,,,,,,,,
1/3/2019 0:00,1/3/2019 3:00,0.522,,,,,,,,,,,
1/3/2019 1:00,1/3/2019 4:00,0.552,,,,,,,,,,,
1/3/2019 2:00,1/3/2019 5:00,0.601,,,,,,,,,,,
1/3/2019 3:00,1/3/2019 6:00,0.638,,,,,,,,,,,
1/3/2019 4:00,1/3/2019 7:00,0.663,,,,,,,,,,,
1/3/2019 5:00,1/3/2019 8:00,0.659,,,,,,,,,,,
1/3/2019 6:00,1/3/2019 9:00,0.625,,,,,,,,,,,
1/3/2019 7:00,1/3/2019 10:00,0.593,,,,,,,,,,,
1/3/2019 8:00,1/3/2019 11:00,0.586,,,,,,,,,,,
1/3/2019 9:00,1/3/2019 12:00,0.568,,,,,,,,,,,
1/3/2019 10:00,1/3/2019 13:00,0.504,,,,,,,,,,,
1/3/2019 11:00,1/3/2019 14:00,0.415,,,,,,,,,,,
1/3/2019 12:00,1/3/2019 15:00,0.332,,,,,,,,,,,
1/3/2019 13:00,1/3/2019 16:00,0.305,,,,,,,,,,,
1/3/2019 14:00,1/3/2019 17:00,0.257,,,,,,,,,,,
1/3/2019 15:00,1/3/2019 18:00,0.267,,,,,,,,,,,
1/3/2019 16:00,1/3/2019 19:00,0.364,,,,,,,,,,,
1/3/2019 17:00,1/3/2019 20:00,0.568,,,,,,,,,,,
1/3/2019 18:00,1/3/2019 21:00,0.801,,,,,,,,,,,
1/3/2019 19:00,1/3/2019 22:00,0.894,,,,,,,,,,,
1/3/2019 20:00,1/3/2019 23:00,0.91,,,,,,,,,,,
