Hour,Demand (kW),Wind (kW),Solar (kW)
0,1826071.184,0.368354839,0
1,1755693.245,0.354419355,0
2,1690211.92,0.35316129,0
3,1586929.953,0.358387097,0
4,1573764.856,0.370290323,0
5,1612632.821,0.374032258,0.019935484
6,1641990.725,0.357967742,0.117645161
7,1614506.081,0.296322581,0.378516129
8,1724623.269,0.262290323,0.555225806
9,1834718.675,0.291870968,0.641709677
10,1954389.488,0.363129032,0.684516129
11,2026509.995,0.406645161,0.692322581
12,2084528.774,0.430903226,0.663096774
13,2028426.818,0.442,0.599677419
14,1967842.107,0.444193548,0.497806452
15,1935569.761,0.442483871,0.340193548
16,1912916.385,0.454709677,0.134903226
17,1975635.741,0.484903226,0.024483871
18,2213692.222,0.497935484,0.000322581
19,2167078.546,0.494096774,0
20,2115982.116,0.485483871,0
21,2055310.275,0.468354839,0
22,2008914.42,0.452064516,0
23,1943389.531,0.440258065,0
24,5517991.409,0.156580645,0
25,5418829.378,0.16983871,0
26,5333863.498,0.189806452,0
27,5220434.965,0.213225806,0
28,5192675.787,0.225516129,0
29,5121765.369,0.225709677,0.057258065
30,4922386.09,0.189387097,0.299709677
31,5211725.928,0.148870968,0.489870968
32,5313420.475,0.163935484,0.587709677
33,5603674.833,0.176225806,0.64183871
34,5749224.098,0.173258065,0.664032258
35,5981286.889,0.169354839,0.672387097
36,6141102.655,0.174225806,0.663483871
37,6286511.224,0.181322581,0.638741935
38,6302606.763,0.18583871,0.581354839
39,6231837.038,0.191387097,0.489129032
40,6103719.919,0.200258065,0.329935484
41,5874611.728,0.225419355,0.098709677
42,5775027.612,0.239,0.000354839
43,5848822.285,0.215903226,0
44,5749589.905,0.187354839,0
45,5621402.437,0.162483871,0
46,5609387.062,0.150419355,0
47,5581768.579,0.146967742,0
